FECHA HECHO;COD_DEPTO;DEPARTAMENTO;COD_MUNI;MUNICIPIO;CANTIDAD
8/07/2018;86;PUTUMAYO;86568;PUERTO ASIS;1
10/07/2018;5;ANTIOQUIA;5321;GUATAPE;1
13/07/2018;23;CÓRDOBA;23419;LOS CORDOBAS;1
16/07/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;2
18/07/2018;5;ANTIOQUIA;5656;SAN JERONIMO;1
19/07/2018;13;BOLÍVAR;13001;CARTAGENA;1
19/07/2018;41;HUILA;41001;NEIVA;1
20/07/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
23/07/2018;66;RISARALDA;66088;BELEN DE UMBRIA;1
25/07/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
27/07/2018;5;ANTIOQUIA;5101;CIUDAD BOLIVAR;1
31/07/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
31/07/2018;50;META;50001;VILLAVICENCIO;1
2/08/2018;5;ANTIOQUIA;5001;MEDELLIN;1
3/08/2018;8;ATLÁNTICO;8001;BARRANQUILLA;1
8/08/2018;5;ANTIOQUIA;5001;MEDELLIN;1
10/08/2018;8;ATLÁNTICO;8758;SOLEDAD;1
14/08/2018;5;ANTIOQUIA;5001;MEDELLIN;1
16/08/2018;8;ATLÁNTICO;8001;BARRANQUILLA;1
16/08/2018;66;RISARALDA;66682;SANTA ROSA DE CABAL;1
22/08/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
29/08/2018;8;ATLÁNTICO;8001;BARRANQUILLA;1
30/08/2018;5;ANTIOQUIA;5001;MEDELLIN;1
1/09/2018;27;CHOCÓ;27361;ISTMINA;1
3/09/2018;70;SUCRE;70418;LOS PALMITOS;1
6/09/2018;73;TOLIMA;73001;IBAGUE;1
10/09/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
11/09/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
13/09/2018;8;ATLÁNTICO;8758;SOLEDAD;1
14/09/2018;23;CÓRDOBA;23555;PLANETA RICA;1
15/09/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
27/09/2018;5;ANTIOQUIA;5001;MEDELLIN;1
28/09/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
28/09/2018;47;MAGDALENA;47745;SITIONUEVO;1
28/09/2018;70;SUCRE;70001;SINCELEJO;1
28/09/2018;70;SUCRE;70742;SAN LUIS DE SINCE;1
3/10/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
3/10/2018;41;HUILA;41001;NEIVA;1
3/10/2018;76;VALLE DEL CAUCA;76001;CALI;1
4/10/2018;5;ANTIOQUIA;5001;MEDELLIN;1
5/10/2018;20;CESAR;20011;AGUACHICA;1
5/10/2018;23;CÓRDOBA;23001;MONTERIA;1
6/10/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
8/10/2018;23;CÓRDOBA;23162;CERETE;1
10/10/2018;8;ATLÁNTICO;8001;BARRANQUILLA;1
10/10/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
11/10/2018;25;CUNDINAMARCA;25817;TOCANCIPA;1
13/10/2018;54;NORTE DE SANTANDER;54001;CUCUTA;1
18/10/2018;5;ANTIOQUIA;5001;MEDELLIN;1
18/10/2018;76;VALLE DEL CAUCA;76001;CALI;1
19/10/2018;8;ATLÁNTICO;8001;BARRANQUILLA;1
22/10/2018;8;ATLÁNTICO;8001;BARRANQUILLA;1
24/10/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
25/10/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
25/10/2018;20;CESAR;20621;LA PAZ;1
26/10/2018;5;ANTIOQUIA;5001;MEDELLIN;1
1/11/2018;8;ATLÁNTICO;8001;BARRANQUILLA;2
6/11/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
13/11/2018;8;ATLÁNTICO;8141;CANDELARIA;1
15/11/2018;8;ATLÁNTICO;8001;BARRANQUILLA;1
16/11/2018;5;ANTIOQUIA;5001;MEDELLIN;1
19/11/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
20/11/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
21/11/2018;5;ANTIOQUIA;5266;ENVIGADO;1
26/11/2018;5;ANTIOQUIA;5001;MEDELLIN;1
26/11/2018;50;META;50001;VILLAVICENCIO;1
28/11/2018;23;CÓRDOBA;23464;MOMIL;1
28/11/2018;54;NORTE DE SANTANDER;54001;CUCUTA;1
29/11/2018;44;LA GUAJIRA;44650;SAN JUAN DEL CESAR;1
30/11/2018;8;ATLÁNTICO;8758;SOLEDAD;1
30/11/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
30/11/2018;52;NARIÑO;52356;IPIALES;1
3/12/2018;41;HUILA;41359;ISNOS;1
4/12/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
4/12/2018;70;SUCRE;70670;SAMPUES;1
6/12/2018;54;NORTE DE SANTANDER;54001;CUCUTA;1
7/12/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
7/12/2018;76;VALLE DEL CAUCA;76001;CALI;1
10/12/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
10/12/2018;13;BOLÍVAR;13001;CARTAGENA;1
11/12/2018;41;HUILA;41001;NEIVA;1
12/12/2018;5;ANTIOQUIA;5001;MEDELLIN;1
13/12/2018;95;GUAVIARE;95001;SAN JOSE DEL GUAVIARE;1
14/12/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
18/12/2018;25;CUNDINAMARCA;25386;LA MESA;1
18/12/2018;41;HUILA;41001;NEIVA;1
20/12/2018;5;ANTIOQUIA;5579;PUERTO BERRIO;1
20/12/2018;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
20/12/2018;41;HUILA;41001;NEIVA;1
21/12/2018;76;VALLE DEL CAUCA;76001;CALI;1
23/12/2018;13;BOLÍVAR;13001;CARTAGENA;1
26/12/2018;76;VALLE DEL CAUCA;76001;CALI;1
27/12/2018;76;VALLE DEL CAUCA;76001;CALI;1
29/12/2018;5;ANTIOQUIA;5308;GIRARDOTA;1
29/12/2018;13;BOLÍVAR;13001;CARTAGENA;1
5/01/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
11/01/2019;76;VALLE DEL CAUCA;76001;CALI;1
14/01/2019;5;ANTIOQUIA;5001;MEDELLIN;1
15/01/2019;5;ANTIOQUIA;5642;SALGAR;1
16/01/2019;25;CUNDINAMARCA;25297;GACHETA;1
20/01/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
22/01/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
25/01/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
29/01/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
31/01/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
11/02/2019;23;CÓRDOBA;23001;MONTERIA;1
12/02/2019;76;VALLE DEL CAUCA;76130;CANDELARIA;1
14/02/2019;17;CALDAS;17001;MANIZALES;1
15/02/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;2
21/02/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
26/02/2019;76;VALLE DEL CAUCA;76001;CALI;1
28/02/2019;5;ANTIOQUIA;5001;MEDELLIN;1
6/03/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
7/03/2019;25;CUNDINAMARCA;25785;TABIO;1
10/03/2019;5;ANTIOQUIA;5001;MEDELLIN;1
20/03/2019;13;BOLÍVAR;13001;CARTAGENA;1
28/03/2019;20;CESAR;20443;MANAURE;1
28/03/2019;76;VALLE DEL CAUCA;76001;CALI;1
1/04/2019;70;SUCRE;70508;OVEJAS;1
