FECHA HECHO;COD_DEPTO;DEPARTAMENTO;COD_MUNI;MUNICIPIO;CANTIDAD
7/12/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;2
16/12/2020;68;SANTANDER;68077;BARBOSA;1
22/12/2020;5;ANTIOQUIA;5001;MEDELLIN;1
25/12/2020;76;VALLE DEL CAUCA;76001;CALI;1
29/12/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
30/12/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
7/01/2021;15;BOYACÁ;15516;PAIPA;1
12/01/2021;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
20/01/2021;5;ANTIOQUIA;5001;MEDELLIN;1
25/01/2021;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
25/01/2021;25;CUNDINAMARCA;25297;GACHETA;1
28/01/2021;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
2/02/2021;76;VALLE DEL CAUCA;76001;CALI;1
5/02/2021;20;CESAR;20001;VALLEDUPAR;1
9/02/2021;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;3
9/02/2021;63;QUINDÍO;63001;ARMENIA;1
